id_producto;ean;nombre;categoria;marca;precio_empaque;precio_por_kilo;calorias_100g;proteinas_100g;fibra_100g;grasa_saturada_100g;azucar_100g;sal_100g;nutri_score;procesado
21398.0;8402001045554;Cambiador multiusos desechable Deliplus;Braguita y otros;Deliplus;4.15;0.35;;;;;;;;
34231.0;8480000342317;Cocktail mezcla Hacendado;Cocktails;Hacendado;1.6;5.33;498.0;14.8;7.9;2.9;6.8;1.6725;d;4
15275.0;8402001041839;Preparado en polvo gelatina maracuyá Hacendado;Levadura y preparado repostería;Hacendado;1.75;9.83;57.0;1.5;0.0;;;0.0;unknown;{}
60515.0;8480000605153;Filtros de café para cafeteras tamaño 2 y 4 Bosque Verde;Otros;Bosque Verde;2.2;0.02;;;;;;;;
13926.0;8410505320145;Soja texturizada Luengo;Lentejas y otros;Luengo;2.7;13.5;361.0;50.0;15.0;1.5;6.3000001907349;0.0;a;4
33026.0;8480000330260;Mix de pepinillos y cebollitas Hacendado;Pepinillos y otros encurtidos;Hacendado;1.85;2.76;19.0;1.2;0.9;0.2;1.7;1.3;c;4
15599.0;8480000155993;Leche evaporada Hacendado;Leche condensada y otros;Hacendado;1.66;2.77;50.9345794392523;7.4;;2.5;11.0;0.22;c;4
39394.0;8480000393944;Zumo de tomate Hacendado;Otros sabores;Hacendado;1.05;1.05;18.0;0.4;0.4;0.0;3.3;0.6;b;3
52451.0;8402001013553;Boquerones aliñados Hacendado;Salazones;Hacendado;1.7;21.25;280.0;16.0;;4.0;0.0;2.3;d;3
18002.0;8480000180025;Atún claro en aceite de oliva Hacendado;Atún;Hacendado;4.9;10.21;357.0;21.0;;2.9;0.4;0.54;a;3
23249.0;7613287424532;Empanados vegetales con proteína de soja Tivall;Otros;Tivall;2.4;13.33;235.0;12.3;5.3;0.8;1.4;0.83;a;4
59090.0;8480000590909;Salami extra Hacendado lonchas;Salchichón;Hacendado;1.85;7.71;462.0;16.0;;13.0;5.1;3.8;e;4
14085.0;8480000140852;Mini galletas caritas Hacendado con crema de cacao;Con chocolate y rellenas;Hacendado;1.4;4.26;485.436893203883;6.79611650485437;;7.76699029126214;28.1553398058252;0.618932038834951;e;4
69582.0;8412276046095;Cogollos corazón de lechuga;Lechuga;;2.0;0.33;13.0;0.98;;0.4;0.49;0.0;unknown;{}
17382.0;8480000173829;Salsa de Soja sin gluten Hacendado;Salsas orientales;Hacendado;2.5;10.0;57.0;10.0;;0.1;0.1;0.041;a;3
27951.0;8410261641416;Refresco sin gas de naranja Simon Life;Otros refrescos sin gas;Simon Life;1.85;1.23;20.0;0.0;;0.0;4.8;0.03;c;4
9820.0;8402001025600;Chocolate negro 72% de cacao Hacendado con almendras enteras;Chocolate negro;Hacendado;3.0;20.0;555.0;13.0;13.0;21.0;0.57;0.1075;d;{}
35595.0;8402001008672;Polvos de talco Deliplus;Accesorios;Deliplus;1.8;9.0;;;;;;;;
82227.0;8480000822277;Pan rallado con ajo y perejil Hacendado;Pan rallado;Hacendado;1.0;2.0;365.0;10.0;3.8;0.3;5.8;0.102;a;3
12348.0;8480000123480;Cacahuetes Hacendado chocolate negro;Chocolatinas;Hacendado;2.05;8.2;544.0;14.1;7.4;15.1;38.6;0.0;e;4
86368.0;8402001022135;Copos de avena sin gluten Hacendado;Cereales integrales y muesli;Hacendado;2.1;4.2;370.0;14.0;11.0;1.3;1.0;0.0;a;1
86600.0;8480000866004;Canelones de carne Hacendado ultracongelados;Pasta;Hacendado;3.24;5.4;144.0;7.3;;2.1;2.2;0.7475;c;4
24267.0;5740301100621;Camarón boreal cocido y pelado Royal Greenland ultracongelado;Marisco;Royal Greenland;4.75;23.75;66.0;15.0;;0.1;0.0;1.4;a;3
18071.0;8480000180711;Atún claro en aceite de oliva Hacendado;Atún;Hacendado;1.55;13.96;245.0;19.0;0.0;4.6;0.5;0.89;d;{}
29624.0;5449000033819;Bebida isotónica naranja Aquarius;Isotónico;Aquarius;0.99;3.0;19.0;0.0;0.0;0.0;4.5;0.05;d;4
87786.0;8402001049385;Arreglo de marisco pelado;Marisco;;9.45;21.0;;;;;;;;
81100.2;2105307811002;Sardina limpia sin cabeza;Sardina;;1.19;5.95;;;;;;;;
15077.0;8410154006001;Mermelada de tomate Hacendado;Mermelada;Hacendado;1.95;4.43;194.0;0.5;;0.0;44.0;0.0;unknown;{}
86808.0;8402001029080;Sazonador pollo y carne Hacendado;Sazonadores;Hacendado;1.4;18.42;;;;;;;unknown;{}
14054.0;8402001036309;Galletas Digestive choco y avena Hacendado;Galletas integrales y digestive;Hacendado;1.75;5.47;144.0625;8.2;10.0;4.2;24.0;0.83;d;4
8180.0;8402001021534;Queso lonchas cheddar de vaca Hacendado;Queso lonchas;Hacendado;1.85;9.25;415.0;25.0;;21.0;;4.5;e;4
21576.0;8402001047275;Panecillo de trigo integral 30%;Pan de bocadillo;;0.35;5.0;;;;;;;;
70652.0;8480000706522;Chocolate negro 55% cacao Hacendado;Chocolate negro;Hacendado;1.75;11.67;534.0;5.5;7.6;22.0;44.0;0.01;e;4
27667.0;8410656001153;Tónica original Schweppes;Tónica y bitter;Schweppes;0.99;3.0;36.0;0.0;;0.0;8.5;0.03;d;4
29360.0;5000112642896;Refresco Coca-Cola;Cola clásica;Coca-Cola;1.5;3.0;42.0;0.0;;0.0;10.6;0.0;e;4
64251.0;8480000642516;Helado cucurucho sabor choco nata Hacendado;Cucuruchos;Hacendado;2.2;3.06;319.0;4.0;2.2;11.0;30.0;0.11;e;4
2784.0;2105100027846;Alas de pollo;Pollo;;3.78;4.15;;;;;;;;
8949.0;8402001023804;Agua de colonia fresca infantil Deliplus con notas cítricas;Colonia;Deliplus;1.9;3.17;;;;;;;;
18116.0;8480000181169;Bonito del norte en aceite de oliva Hacendado;Bonito;Hacendado;3.2;14.41;192.0;25.0;;1.6;;2.0;unknown;3
52513.0;5411188138051;Postre de soja sabor natural con coco Alpro;Postres de soja;Alpro;2.0;5.0;54.0;3.9;0.9;1.0;2.2;0.22;a;4
64039.0;8402001017520;Helado cucurucho caramelo y nueces pecán Hacendado sabor vainilla;Cucuruchos;Hacendado;3.1;5.54;300.220750551876;3.53200883002208;1.32450331125828;8.16777041942605;30.9050772626932;0.171081677704194;unknown;{}
64196.0;8410663200211;Helado cucurucho sabor nata Hacendado;Cucuruchos;Hacendado;2.2;3.06;;;;;;;;
11438.0;8480000114389;Infusión Cúrcuma Hacendado con manzana y canela;Infusiones;Hacendado;1.35;39.71;2.0;0.5;0.0;0.0;0.5;0.03;not-applicable;4
3820.0;2105431038207;Kiwi verde;Fruta tropical;;0.39;3.25;;;;;;;;
21448.0;8402001045820;Piadina Hacendado;Pan de hamburguesa y wrap;Hacendado;2.2;5.5;323.0;8.1;4.0;;3.4;;unknown;{}
6277.0;8402001042232;Spaghetti fino Hacendado;Spaghetti y tallarines;Hacendado;0.8;1.6;;;;;;;;
82279.0;8480000822796;Picos Hacendado;Picos;Hacendado;0.8;3.2;416.0;11.2;2.2;0.7;2.6;2.0;d;3
13849.0;8480000138491;Bebida de avellana y arroz sin azúcares añadidos Hacendado;Bebidas vegetales;Hacendado;7.5;1.25;50.0;0.6;0.4;0.2;3.8;0.08;c;4
60869.0;8480000608697;Piñones Hacendado;Otras especias;Hacendado;3.25;46.43;;;;;;;a;1
60320.0;8480000603203;Banderillas Gildas Hacendado pinchos de aceituna, anchoa y guindilla;Cóctel y banderillas;Hacendado;2.3;18.4;230.933333333333;5.7;0.0;3.1;0.0;3.3;e;{}
27449.0;5449000136336;Refresco Coca-Cola Zero azúcar;Cola zero;Coca-Cola;3.95;0.99;0.2;0.0;;0.0;0.0;0.02;c;4
12530.0;8480000125309;Chocolate negro 70% cacao fundir Hacendado 0% azúcares añadidos;Chocolate negro;Hacendado;3.25;16.25;525.0;8.7;9.7;26.0;0.1;0.0;d;4
68266.0;8437001300143;Natillas sabor vainilla con galleta Hacendado;Natillas;Hacendado;1.15;2.3;;;;;;;;
65213.0;8402001035036;Chicles XXL gragea Hacendado;Chicles;Hacendado;1.8;18.0;;;;;;;unknown;{}
18107.0;8480000181077;Filetes de melva en aceite de oliva Hacendado;Caballa y melva;Hacendado;1.85;15.42;178.0;24.7;;1.4;0.5;1.0;a;3
15768.0;8410603125215;Huevos de gallinas camperas;Huevos;;3.5;0.29;138.3;12.5;0.0;2.8;0.7;0.0;a;{}
34035.0;8411109006619;Coco rallado Hacendado;Decoración;Hacendado;1.3;10.4;;;;;;0.0;unknown;{}
22651.0;8480000226518;Yogur griego sabor limón Hacendado;Yogures griegos;Hacendado;1.65;2.2;108.0;3.3;;5.2;12.4;0.11;c;4
22649.0;8480000226495;Pizza masa fina Barbacoa Hacendado ultracongelada;Pizzas;Hacendado;2.5;6.41;254.0;8.9;;3.1;5.9;0.0;c;4
10117.0;8480000101174;Nata fresca para cocinar Hacendado;Nata;Hacendado;1.3;6.6;284.0;2.4;;19.3;1.9;0.05;d;1
25243.0;8412610036188;Patas de pollo;Pollo;;2.07;4.6;;;;;;;;
86998.0;8480000869982;Levadura de panadería Hacendado;Levadura y preparado repostería;Hacendado;1.6;22.86;;;;;;;not-applicable;4
62048.0;8480000620484;Preparado de paella y sopa Hacendado ultracongelado;Marisco;Hacendado;4.25;6.2;82.0;15.0;0.0;0.5;0.0;0.6;unknown;{}
17366.0;8402001024467;Salsa César Hacendado;Otras salsas;Hacendado;1.4;4.52;342.0;2.3;;4.2;7.0;0.01;unknown;{}
22568.0;8480000225689;Sticks de patata Hacendado;Snacks;Hacendado;0.8;10.67;529.0;2.1;2.2;3.8;0.3;1.9;d;3
21774.0;8402001051531;Smoothie mango y coco Hacendado;Smoothie;Hacendado;1.65;6.6;67.0;0.6;0.6;1.0;11.0;0.01;unknown;{}
21732.0;8402001042744;Refresco sin gas Tropical Hacendado;Otros refrescos sin gas;Hacendado;1.2;0.8;;;;;;;;
10504.0;8410297110733;Leche entera Asturiana;Leche entera;Asturiana;11.82;1.31;63.0;3.0999999046326;;2.4000000953674;4.5999999046326;0.10000000149012;c;{}
23051.0;8480000230515;Batido sabor fresa Hacendado;Batidos;Hacendado;1.3;1.3;53.0;2.2;0.0;0.4;10.0;0.14;d;4
20504.0;8480000205049;Yogur griego sabor fresa Hacendado;Yogures griegos;Hacendado;1.65;2.2;139.0;3.3;;5.5;13.4;0.11;c;4
15923.0;8480000159236;Café molido mezcla Hacendado;Café molido;Hacendado;2.5;10.0;321.0;17.0;49.0;4.2;2.7;0.0;unknown;1
63643.0;8480000636430;Pizza Americana Hacendado ultracongelada;Pizzas;Hacendado;3.5;6.48;236.0;12.0;;3.3;5.7;1.5;d;4
51050.0;8422241807286;Mozzarella fresca de vaca Hacendado;Queso fresco;Hacendado;0.9;3.6;;;;;;;;
64087.0;8480000640871;Mini helados hielo sorbetes Hacendado;Granizados y helados de hielo;Hacendado;1.8;6.67;87.0;0.49956;;0.3;17.0;;unknown;4
23410.0;8480000234100;Mostaza clásica Hacendado;Mostaza;Hacendado;1.35;3.48;75.0;3.8;;0.3;1.0;2.6;d;4
6250.0;8402001010897;Macarrón Hacendado;Macarrones, pajaritas y hélices;Hacendado;1.2;1.2;;;;;;;;
59077.0;8480000590770;Salchichón extra pimienta Hacendado finas lonchas;Salchichón;Hacendado;1.85;18.5;345.0;25.0;;9.1000003814697;4.9000000953674;3.9000000953674;e;4
8722.0;8480000087225;Crema de verduras Hacendado;Cremas y puré;Hacendado;1.7;4.86;30.0;0.742857142857143;1.02857142857143;0.228571428571429;1.34285714285714;0.674285714285714;c;3
17132.0;8480000171320;Tomate frito Hacendado;Tomate frito;Hacendado;1.35;1.13;81.0;1.5;0.0;0.3;6.9;0.9825;c;3
60009.0;8480000600097;Cocktail tostado y ahumado Hacendado;Cocktails;Hacendado;2.8;14.0;598.0;22.8;8.5;39.4;5.8;1.5;e;4
11556.0;8700216493451;Pañales bebé talla 6 de 13-18 kg Dodot;Pañal talla de 4 a XL;Dodot;18.95;0.39;;;;;;;;
4640.0;8480000046406;Aceite de oliva 1º Hacendado;Aceite de oliva;Hacendado;4.15;4.15;822.0;0.0;;12.8;0.0;0.0;b;2
23155.0;8480000231550;Gyozas de pollo y verduras Hacendado congeladas;Pasta;Hacendado;2.15;9.35;165.0;5.7;2.4;1.5;2.6;0.9;c;4
15922.0;8480000159229;Café molido mezcla Hacendado;Café molido;Hacendado;4.8;9.6;321.0;17.0;49.0;4.2;2.7;0.0;unknown;4
20908.0;8480000209085;Postre lácteo natural +Proteínas Hacendado 0% MG 12 g proteínas;Yogures desnatados;Hacendado;1.4;2.92;51.6666666666667;10.0;;0.1;3.1;0.1;a;1
39129.0;8480000391292;Zumo de piña y uva Hacendado;Piña;Hacendado;1.2;1.2;54.0;0.6;0.0;0.0;12.9;0.01;d;{}
9397.0;8480000093974;Preparado lácteo con cereales Hacendado +1 año;Leche;Hacendado;1.6;1.6;82.0;2.3;1.2;0.6;6.2;0.13;not-applicable;4
82651.0;8008910231271;Crackers sin gluten Hacendado con romero;Crakers y tartaletas;Hacendado;1.7;8.5;440.119760479042;2.5;;2.3;1.5;2.1;d;4
20559.0;8480000205599;Yogur griego natural Hacendado;Yogures griegos;Hacendado;1.45;1.93;103.2;3.9;0.0;6.7;3.9;0.12;c;3
19731.0;8402001001840;Sal fina Hacendado;Sal y bicarbonato;Hacendado;0.4;0.4;;;;;;;;
63628.0;8480000636287;Pizza 4 quesos familiar Hacendado;Pizzas refrigeradas;Hacendado;3.4;5.86;267.0;14.4;;6.8;2.2;1.3775;d;4
40361.0;8480000403612;Mortadela Hacendado;Mortadela;Hacendado;3.6;4.0;;;;;;;;
3269.0;2105400032694;Manzanas Golden;Manzana y pera;;3.0;2.0;;;;;;;;
79715.0;8480000797155;Biberón 150 ml tetina silicona flujo lento Deliplus +0 meses;Biberón;Deliplus;3.3;3.3;;;;;;;;
59018.0;8421384016210;Mini taquitos de jamón Incarlopsa;Jamón serrano;Incarlopsa;2.65;14.72;234.2;33.6666666666667;;3.44444444444444;0.555555555555556;3.6;e;3
50971.0;2105600509712;Queso viejo tostado mezcla Hacendado;Queso curado;Hacendado;5.59;14.15;;;;;;;;
6566.0;8005180060235;Tortellini tres quesos Pagani;Pasta rellena;Pagani;1.4;5.6;378.0;15.0;4.8;5.2;1.8;1.9675;d;4
11770.0;8480000117700;Café monodosis natural Hacendado;Monodosis;Hacendado;3.0;0.09;336.0;17.0;50.0;5.3;0.9;0.0;unknown;{}
18211.0;8480000182111;Sardinillas en escabeche Hacendado;Sardinas;Hacendado;1.95;10.83;270.0;16.0;;4.1;0.0;1.1;d;3
13241.0;8402001033261;Ensalada de pasta Listo para Comer;Ensalada preparada;Listo para Comer;4.0;4.0;;;;;;;;
13502.0;8480000135025;Galletas María dorada Hacendado 0% azúcares añadidos;Galletas desayuno;Hacendado;1.5;3.75;445.0;6.9;3.9;8.3;0.7;0.95;d;4
69581.0;8412276046064;Cogollos de lechuga;Lechuga;;1.05;0.35;60.0;1.2;0.84;0.0;0.3;0.0;a;{}
61282.0;8480000612823;Judía verde redonda Hacendado ultracongelada;Verdura;Hacendado;1.3;1.3;31.0;1.9;2.4;0.0;3.0;0.01;a;1
2137.0;8411396000734;Flautas de pollo y queso;Pollo;;2.2;7.86;274.0;15.2;;5.7;0.6;1.475;d;4
29373.0;8480000293732;Harina de garbanzo Hacendado;Harina;Hacendado;2.0;4.0;342.0;20.2;11.8;0.9;4.6;0.0;a;1
53444.0;8402001054389;Salmón ahumado Hacendado;Ahumados;Hacendado;3.7;37.0;;;;;;;;
80292.0;8480000802927;Preparado para repostería y panificación Hacendado;Harina;Hacendado;2.7;2.7;335.0;2.9;6.0;0.01;2.2;1.7;c;4
5184.0;8480000051844;Arroz integral largo Hacendado;Arroz;Hacendado;1.65;1.65;350.0;7.6;3.3;0.7;0.5;0.01;b;1
10350.0;8480000103505;Café en cápsula extra fuerte Hacendado;Cápsulas compatibles Nespresso;Hacendado;3.8;0.19;1.0;0.0;0.0;0.1;0.0;0.0;unknown;{}
26002.0;8429386915104;Alubia cocida granja Hacendado;Alubias;Hacendado;1.75;3.07;;;;;;;;
63407.0;8480000634078;Empanadillas de atún Hacendado ultracongeladas;Pescado rebozado;Hacendado;1.9;3.8;256.666666666667;5.6;;3.0;4.7;0.0015;c;4
21699.0;8402001042850;Bebida energética Energy Drink Hacendado;Energético;Hacendado;0.4;1.6;;;;;;;;
11468.0;8480000114686;Infusión Hinojo Hacendado;Infusiones;Hacendado;1.05;26.25;;;;;;;b;1
2856.0;2105100028560;Mollejas de pollo;Pollo;;2.03;5.35;;;;;;;;
10699.0;8480000104694;Leche entera sin lactosa Hacendado;Leche entera;Hacendado;1.03;1.03;62.0;3.0;;2.4;4.5;0.000325;c;1
16712.0;8480000167125;Maíz dulce Hacendado;Conservas verdura;Hacendado;1.55;3.44;75.0;2.6;;0.5;4.7;0.4925;b;3
13324.0;8402001028342;Pañales bebé talla 6 de +17 kg Deliplus;Pañal talla de 4 a XL;Deliplus;6.3;0.29;;;;;;;;
69930.0;5603571313255;Tomates cherry pera kumato;Tomate;;1.7;5.67;;;;;;;;
68265.0;8480000682659;Flan de huevo sin azúcares añadidos Hacendado;Flan;Hacendado;1.9;4.75;68.0;6.3;1.8;0.6;6.1;0.21;a;4
63161.0;8480000631619;Rabas empanadas Hacendado ultracongeladas;Pescado rebozado;Hacendado;4.15;8.3;175.0;9.7;;1.3;0.0;1.44;c;4
5928.0;8480000059284;Albaricoques;Otras frutas;;2.8;4.0;;;;;;;;
52749.0;8402001015403;Cebolla caramelizada Hacendado;Confitura y otros;Hacendado;1.7;8.95;127.0;0.8;;0.6;17.7;1.0825;d;{}
28198.0;8402001019807;Agua de coco 100% Hacendado;Agua sin gas;Hacendado;2.3;2.3;20.0;0.0;;0.0;4.0;0.05;b;1
86117.0;8414100362227;Tónica original Schweppes;Tónica y bitter;Schweppes;6.3;5.25;25.0;0.0;;0.0;5.8;0.0;unknown;{}
23293.0;8480000232939;Café en cápsula descafeinado Hacendado;Cápsulas compatibles Dolce gusto;Hacendado;3.35;0.21;350.0;15.0;47.0;6.7;0.6;0.02;unknown;{}
26110.0;8480000261106;Garbanzos a la jardinera Hacendado;Platos de cuchara;Hacendado;1.2;2.86;70.0;3.8;;0.4;0.5;0.8;b;3
52614.0;8402001012198;Chicles eucalipto gragea Hacendado;Chicles;Hacendado;1.0;22.22;157.0;0.5;;0.1;0.0;0.04;not-applicable;4
50929.0;8480000509291;Queso Arzúa-Ulloa de vaca Punteiro;Queso curado;Punteiro;6.98;8.95;;;;;;;;
11934.0;8402001029264;Pasta tiburón Mac & Cheese Hacendado con salsa de queso;Pasta;Hacendado;1.3;6.84;397.0;14.1;1.8;;;2.42;unknown;4
21331.0;8402001034596;Bífidus con pera probióticos Hacendado 0% MG 0% azúcares añadidos;Bífidus de sabores;Hacendado;1.3;2.6;;;;;;;;
6260.0;8480000062604;Macarrón fino Hacendado;Macarrones, pajaritas y hélices;Hacendado;0.8;1.6;361.0;13.0;3.5;0.3;3.6;0.01;a;1
